dt	pCa	dhsl	mode
0.00100	9.01725	0.00000	-2.00000
0.00100	8.73324	0.00000	-2.00000
0.00100	8.57394	0.00000	-2.00000
0.00100	8.46557	0.00000	-2.00000
0.00100	8.38499	0.00000	-2.00000
0.00100	8.32191	0.00000	-2.00000
0.00100	8.27084	0.00000	-2.00000
0.00100	8.22849	0.00000	-2.00000
0.00100	8.19276	0.00000	-2.00000
0.00100	8.16219	0.00000	-2.00000
0.00100	8.13577	0.00000	-2.00000
0.00100	8.11273	0.00000	-2.00000
0.00100	8.09249	0.00000	-2.00000
0.00100	8.07461	0.00000	-2.00000
0.00100	8.05873	0.00000	-2.00000
0.00100	8.04457	0.00000	-2.00000
0.00100	8.03190	0.00000	-2.00000
0.00100	8.02052	0.00000	-2.00000
0.00100	8.01028	0.00000	-2.00000
0.00100	8.00103	0.00000	-2.00000
0.00100	7.99266	0.00000	-2.00000
0.00100	7.98508	0.00000	-2.00000
0.00100	7.97820	0.00000	-2.00000
0.00100	7.97194	0.00000	-2.00000
0.00100	7.96624	0.00000	-2.00000
0.00100	7.96105	0.00000	-2.00000
0.00100	7.95631	0.00000	-2.00000
0.00100	7.95198	0.00000	-2.00000
0.00100	7.94802	0.00000	-2.00000
0.00100	7.94439	0.00000	-2.00000
0.00100	7.94107	0.00000	-2.00000
0.00100	7.93803	0.00000	-2.00000
0.00100	7.93525	0.00000	-2.00000
0.00100	7.93269	0.00000	-2.00000
0.00100	7.93034	0.00000	-2.00000
0.00100	7.92818	0.00000	-2.00000
0.00100	7.92620	0.00000	-2.00000
0.00100	7.92438	0.00000	-2.00000
0.00100	7.92271	0.00000	-2.00000
0.00100	7.92117	0.00000	-2.00000
0.00100	7.91975	0.00000	-2.00000
0.00100	7.91845	0.00000	-2.00000
0.00100	7.91725	0.00000	-2.00000
0.00100	7.91614	0.00000	-2.00000
0.00100	7.91513	0.00000	-2.00000
0.00100	7.91419	0.00000	-2.00000
0.00100	7.91333	0.00000	-2.00000
0.00100	7.91253	0.00000	-2.00000
0.00100	7.91180	0.00000	-2.00000
0.00100	7.91112	0.00000	-2.00000
0.00100	7.91050	0.00000	-2.00000
0.00100	7.90993	0.00000	-2.00000
0.00100	7.90940	0.00000	-2.00000
0.00100	7.90891	0.00000	-2.00000
0.00100	7.90846	0.00000	-2.00000
0.00100	7.90804	0.00000	-2.00000
0.00100	7.90766	0.00000	-2.00000
0.00100	7.90731	0.00000	-2.00000
0.00100	7.90698	0.00000	-2.00000
0.00100	7.90668	0.00000	-2.00000
0.00100	7.90641	0.00000	-2.00000
0.00100	7.90615	0.00000	-2.00000
0.00100	7.90592	0.00000	-2.00000
0.00100	7.90570	0.00000	-2.00000
0.00100	7.90550	0.00000	-2.00000
0.00100	7.90531	0.00000	-2.00000
0.00100	7.90514	0.00000	-2.00000
0.00100	7.90498	0.00000	-2.00000
0.00100	7.90484	0.00000	-2.00000
0.00100	7.90470	0.00000	-2.00000
0.00100	7.90458	0.00000	-2.00000
0.00100	7.90447	0.00000	-2.00000
0.00100	7.90436	0.00000	-2.00000
0.00100	7.90426	0.00000	-2.00000
0.00100	7.90417	0.00000	-2.00000
0.00100	7.90409	0.00000	-2.00000
0.00100	7.90401	0.00000	-2.00000
0.00100	7.90394	0.00000	-2.00000
0.00100	7.90388	0.00000	-2.00000
0.00100	7.90382	0.00000	-2.00000
0.00100	7.90376	0.00000	-2.00000
0.00100	7.90371	0.00000	-2.00000
0.00100	7.90366	0.00000	-2.00000
0.00100	7.90362	0.00000	-2.00000
0.00100	7.90358	0.00000	-2.00000
0.00100	7.90354	0.00000	-2.00000
0.00100	7.90351	0.00000	-2.00000
0.00100	7.90348	0.00000	-2.00000
0.00100	7.90345	0.00000	-2.00000
0.00100	7.90342	0.00000	-2.00000
0.00100	7.90339	0.00000	-2.00000
0.00100	7.90337	0.00000	-2.00000
0.00100	7.90335	0.00000	-2.00000
0.00100	7.90333	0.00000	-2.00000
0.00100	7.90331	0.00000	-2.00000
0.00100	7.90330	0.00000	-2.00000
0.00100	7.90328	0.00000	-2.00000
0.00100	7.90327	0.00000	-2.00000
0.00100	7.90325	0.00000	-2.00000
0.00100	7.90324	0.00000	-2.00000
0.00100	6.01185	0.00000	-2.00000
0.00100	5.73074	0.00000	-2.00000
0.00100	5.57254	0.00000	-2.00000
0.00100	5.46481	0.00000	-2.00000
0.00100	5.38469	0.00000	-2.00000
0.00100	5.32197	0.00000	-2.00000
0.00100	5.27121	0.00000	-2.00000
0.00100	5.22913	0.00000	-2.00000
0.00100	5.19363	0.00000	-2.00000
0.00100	5.16329	0.00000	-2.00000
0.00100	5.13707	0.00000	-2.00000
0.00100	5.11422	0.00000	-2.00000
0.00100	5.09416	0.00000	-2.00000
0.00100	5.07645	0.00000	-2.00000
0.00100	5.06073	0.00000	-2.00000
0.00100	5.04672	0.00000	-2.00000
0.00100	5.03419	0.00000	-2.00000
0.00100	5.02295	0.00000	-2.00000
0.00100	5.01284	0.00000	-2.00000
0.00100	5.00371	0.00000	-2.00000
0.00100	4.99547	0.00000	-2.00000
0.00100	5.03017	0.00000	-2.00000
0.00100	5.06486	0.00000	-2.00000
0.00100	5.09955	0.00000	-2.00000
0.00100	5.13424	0.00000	-2.00000
0.00100	5.16892	0.00000	-2.00000
0.00100	5.20360	0.00000	-2.00000
0.00100	5.23828	0.00000	-2.00000
0.00100	5.27294	0.00000	-2.00000
0.00100	5.30760	0.00000	-2.00000
0.00100	5.34225	0.00000	-2.00000
0.00100	5.37690	0.00000	-2.00000
0.00100	5.41154	0.00000	-2.00000
0.00100	5.44617	0.00000	-2.00000
0.00100	5.48078	0.00000	-2.00000
0.00100	5.51539	0.00000	-2.00000
0.00100	5.54999	0.00000	-2.00000
0.00100	5.58457	0.00000	-2.00000
0.00100	5.61914	0.00000	-2.00000
0.00100	5.65370	0.00000	-2.00000
0.00100	5.68824	0.00000	-2.00000
0.00100	5.72277	0.00000	-2.00000
0.00100	5.75727	0.00000	-2.00000
0.00100	5.79176	0.00000	-2.00000
0.00100	5.82622	0.00000	-2.00000
0.00100	5.86067	0.00000	-2.00000
0.00100	5.89508	0.00000	-2.00000
0.00100	5.92947	0.00000	-2.00000
0.00100	5.96383	0.00000	-2.00000
0.00100	5.99816	0.00000	-2.00000
0.00100	6.03246	0.00000	-2.00000
0.00100	6.06671	0.00000	-2.00000
0.00100	6.10093	0.00000	-2.00000
0.00100	6.13511	0.00000	-2.00000
0.00100	6.16924	0.00000	-2.00000
0.00100	6.20331	0.00000	-2.00000
0.00100	6.23734	0.00000	-2.00000
0.00100	6.27130	0.00000	-2.00000
0.00100	6.30520	0.00000	-2.00000
0.00100	6.33903	0.00000	-2.00000
0.00100	6.37279	0.00000	-2.00000
0.00100	6.40647	0.00000	-2.00000
0.00100	6.44007	0.00000	-2.00000
0.00100	6.47357	0.00000	-2.00000
0.00100	6.50697	0.00000	-2.00000
0.00100	6.54026	0.00000	-2.00000
0.00100	6.57344	0.00000	-2.00000
0.00100	6.60650	0.00000	-2.00000
0.00100	6.63942	0.00000	-2.00000
0.00100	6.67220	0.00000	-2.00000
0.00100	6.70482	0.00000	-2.00000
0.00100	6.73728	0.00000	-2.00000
0.00100	6.76956	0.00000	-2.00000
0.00100	6.80166	0.00000	-2.00000
0.00100	6.83355	0.00000	-2.00000
0.00100	6.86522	0.00000	-2.00000
0.00100	6.89666	0.00000	-2.00000
0.00100	6.92786	0.00000	-2.00000
0.00100	6.95879	0.00000	-2.00000
0.00100	6.98944	0.00000	-2.00000
0.00100	7.01980	0.00000	-2.00000
0.00100	7.04983	0.00000	-2.00000
0.00100	7.07954	0.00000	-2.00000
0.00100	7.10888	0.00000	-2.00000
0.00100	7.13786	0.00000	-2.00000
0.00100	7.16644	0.00000	-2.00000
0.00100	7.19460	0.00000	-2.00000
0.00100	7.22232	0.00000	-2.00000
0.00100	7.24959	0.00000	-2.00000
0.00100	7.27637	0.00000	-2.00000
0.00100	7.30266	0.00000	-2.00000
0.00100	7.32842	0.00000	-2.00000
0.00100	7.35364	0.00000	-2.00000
0.00100	7.37829	0.00000	-2.00000
0.00100	7.40237	0.00000	-2.00000
